1895,1893,82700,16112,188207
62211,16690,40494,81188,9297
36658,10138,2080,1452,36657
1894,1895,1892,13856,927
228326,57800,13908,16690,23730
11959,36557,2309,12177,84184
72431,11165,10691,227306,342
58595,62764,2312,13491,224141
1497,308531,1273,25968,1499
698,9549,286217,192577,8656
98357,417859,254128,88751,39349
1497,98566,1273,1499,1724
49521,49538,36657,10195,347126
18360,181533,11015,9770,38055
192102,9342,39349,248,300673
8963,322443,103,699,8367
204082,13551,66607,342,11302
161,12486,146216,298,41283
1620,25520,24206,253450,4349
262504,9954,131631,157350,241259
75033,274479,14293,9903,15797
257445,8584,350,838,6068
2370,15268,199933,13536,116613
1271,10691,72976,11165,1966
77931,71688,49519,812,16690
9907,50135,14175,10567,239897
262500,157350,299687,131631,198663
21074,2048,262543,5137,2277
41513,812,49519,4523,10681
10428,13938,3049,7288,9989
13856,192577,118340,76757,2157
562,1572,1573,10428,49010
49051,121,122917,57158,122
14139,62206,13807,11033,59860
10400,11935,13994,70,14014
21525,69270,293644,9513,314
262543,97020,39254,21074,5137
72431,342,947,113464,34043
10996,105864,10199,228326,46195
50135,4523,10530,109445,105864
568,95,6440,26022,1251
8452,19959,87421,18360,10061
39210,290391,17127,9400,13523
512,168259,10477,19912,116613
14014,11935,68812,12486,13994
39851,43539,19959,169917,59967
675,673,671,674,767
11959,16112,19724,82679,36955
542,246449,261,10329,19959
5708,87101,534,296,12770
88794,14536,11935,13816,4816
13536,9702,2034,10634,38970
2755,192102,14757,12486,14014
102362,190955,49018,77495,7859
1597,693,11638,10073,11128
11517,2034,1572,11375,268920
36955,11702,74725,9697,117251
38665,11302,1852,2312,54054
1788,170687,159037,1648,15005
13053,10202,140300,227973,10567
813,27578,8292,332411,14869
1995,217,1996,89,85
6278,848,9288,82702,140300
375950,11283,1624,35019,10192
48572,81188,9954,16690,8698
256687,30139,14324,9280,79698
71676,56601,1813,28260,102362
10219,219716,76487,62630,300671
10673,318846,23631,2453,56491
415,49026,2661,155,268
9093,4421,28089,10590,9104
2135,80274,79698,14139,32395
51162,15655,18276,2309,953
10588,21525,925,29371,11690
188207,13994,68812,98,18823
192577,7450,228161,11802,6795
88751,68812,9607,6020,16112
12484,9978,956,56292,39514
21338,9366,38322,9799,7220
9591,854,71864,228326,170687
13342,36970,504,78698,9645
14854,13856,15745,11056,13260
947,8007,39514,193756,69848
172391,12486,16112,11935,14014
49018,9396,75861,190955,10398
9978,66607,68737,1735,2312
88794,11302,10559,11935,429
44944,30141,113464,11165,264656
13053,227973,172391,11959,378237
13856,1497,7510,14351,13996
13922,158011,146269,72431,291362
10758,510,9452,22479,10735
13836,7450,219,19995,5769
42033,27342,146882,70868,16620
49519,6415,57800,258509,13053
49519,15511,23730,8355,950
14442,5393,220490,16052,10025
18405,137347,15489,239897,15487
227973,13053,19556,172391,9821
121,122917,49051,120,57158
122,120,57158,49051,122917
66607,134411,24356,1088,9290
1996,2059,89,9312,85
11056,201088,14869,1090,331592
329,330,135397,18162,10077
14014,14757,68812,82700,12486
10705,49519,10140,16690,2309
254904,134411,146216,9869,11128
41894,69848,13503,14877,266102
14757,14014,172391,27936,13994
2669,10269,72197,15511,22
18823,57165,205584,391,670
608,41154,11260,9783,4965
862,10193,14757,9021,16112
3512,59965,18487,39349,379532
5174,41154,21309,9991,11702
63006,31915,54702,46838,70006
109451,7518,50135,361475,116977
57800,175574,14160,950,49519
14139,2309,44115,6116,18360
943,9471,290864,14139,280092
9366,19344,26268,49018,261023
82702,227,10800,257932,109445
32740,47889,376010,31246,57120
331745,6973,210577,11324,9682
562,1571,21512,1573,27581
58574,46503,807,180,13389
887,3131,87421,8849,9400
57800,2756,16690,50135,14175
13053,114,55301,8970,6477
9075,72431,342,424,146269
68812,46989,16112,8849,198184
18841,13856,111794,10350,82690
198184,262543,91122,8247,11096
12486,11935,8839,670,14757
256687,57120,15983,59930,47088
16911,546,907,13856,37686
5820,4349,10431,2253,186
110683,170687,2486,137106,17711
1995,2059,85,89,87
75656,146198,10431,10040,8469
71469,58626,708,79698,1491
254904,78814,296098,82675,16112
8870,68179,10016,19898,679
172385,10996,10137,14175,9023
262543,7942,21074,39254,9928
10061,169,8883,26916,78
68202,39780,44214,9869,24973
1931,3635,8963,1669,90369
9610,16353,9355,29076,14014
10400,70,8489,14014,1578
73191,333348,8386,18147,9647
26673,9277,293646,32274,11546
14014,14757,214,2755,12486
157293,76996,837,11065,294086
65759,10527,24662,270946,12535
324668,2501,37821,5820,266396
16112,36955,12486,14757,74725
163,298,12486,37165,2755
11370,9664,12779,10550,257088
159824,50135,49519,41513,129
812,10530,16690,10198,301325
324668,254904,27576,137094,9281
14306,7518,3050,175574,49519
12703,20055,19150,13856,106747
88641,10025,70868,80468,13025
109091,1809,9930,36597,134371
13074,12658,16388,244772,207769
161,163,6016,75656,336004
10808,60421,7518,116711,50135
262504,299687,198663,262500,80274
227306,72431,10691,342,13922
192141,68812,1930,11090,587
181533,244403,17134,202575,9486
10691,11165,12100,127560,72431
29371,49013,134371,11176,512
11395,10719,103663,10147,8386
2008,6639,13849,263503,75861
